Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Granzin;13076051;Eldenburg Lübz;130765655.0
Grebs-Niendorf;13076053;Dömitz-Malliß;130765654.0
Gresse;13076054;Boizenburg-Land;130765652.0
Greven;13076055;Boizenburg-Land;130765652.0
Groß Godems;13076056;Parchimer Umland;130765662.0
Groß Krams;13076057;Hagenow-Land;130765658.0
Groß Laasch;13076058;Ludwigslust-Land;130765659.0
Hagenow, Stadt;13076060;Hagenow, Stadt;130760060.0
Hohen Pritz;13076062;Sternberger Seenlandschaft;130765664.0
Holthusen;13076063;Stralendorf;130765665.0
Hoort;13076064;Hagenow-Land;130765658.0
Hülseburg;13076065;Hagenow-Land;130765658.0
Karenz;13076067;Dömitz-Malliß;130765654.0
Karrenzin;13076068;Parchimer Umland;130765662.0
Karstädt;13076069;Grabow;130765657.0
Kirch Jesar;13076070;Hagenow-Land;130765658.0
Klein Rogahn;13076071;Stralendorf;130765665.0
Kobrow;13076072;Sternberger Seenlandschaft;130765664.0
Kogel;13076073;Zarrentin;130765667.0
Kreien;13076075;Eldenburg Lübz;130765655.0
Kremmin;13076076;Grabow;130765657.0
Kritzow;13076077;Eldenburg Lübz;130765655.0
Kuhlen-Wendorf;13076078;Sternberger Seenlandschaft;130765664.0
Kuhstorf;13076079;Hagenow-Land;130765658.0
Langen Brütz;13076080;Crivitz;130765668.0
Leezen;13076082;Crivitz;130765668.0
Lewitzrand;13076085;Parchimer Umland;130765662.0
Lübesse;13076086;Ludwigslust-Land;130765659.0
Lüblow;13076087;Ludwigslust-Land;130765659.0
Lübtheen, Stadt;13076088;Lübtheen, Stadt;130760088.0
Lübz, Stadt;13076089;Eldenburg Lübz;130765655.0
Ludwigslust, Stadt;13076090;Ludwigslust, Stadt;130760090.0
Lüttow-Valluhn;13076092;Zarrentin;130765667.0
Malk Göhren;13076093;Dömitz-Malliß;130765654.0
Malliß;13076094;Dömitz-Malliß;130765654.0
Mestlin;13076096;Goldberg-Mildenitz;130765656.0
Milow;13076097;Grabow;130765657.0
Möllenbeck;13076098;Grabow;130765657.0
Moraas;13076099;Hagenow-Land;130765658.0
Muchow;13076100;Grabow;130765657.0
Mustin;13076101;Sternberger Seenlandschaft;130765664.0
Neu Gülze;13076102;Boizenburg-Land;130765652.0
Neu Kaliß;13076103;Dömitz-Malliß;130765654.0
Neu Poserin;13076104;Goldberg-Mildenitz;130765656.0
Neustadt-Glewe, Stadt;13076105;Neustadt-Glewe;130765660.0
Nostorf;13076106;Boizenburg-Land;130765652.0
Pampow;13076107;Stralendorf;130765665.0
Parchim, Stadt;13076108;Parchim, Stadt;130760108.0
Passow;13076109;Eldenburg Lübz;130765655.0
Pätow-Steegen;13076110;Hagenow-Land;130765658.0
Picher;13076111;Hagenow-Land;130765658.0
Pinnow;13076112;Crivitz;130765668.0
Plate;13076113;Crivitz;130765668.0
Plau am See, Stadt;13076114;Plau am See;130765663.0
Prislich;13076115;Grabow;130765657.0
Pritzier;13076116;Hagenow-Land;130765658.0
Raben Steinfeld;13076117;Crivitz;130765668.0
Rastow;13076118;Ludwigslust-Land;130765659.0
Redefin;13076119;Hagenow-Land;130765658.0
Rom;13076120;Parchimer Umland;130765662.0
Schossin;13076121;Stralendorf;130765665.0
Schwanheide;13076122;Boizenburg-Land;130765652.0
Siggelkow;13076125;Eldenburg Lübz;130765655.0
Spornitz;13076126;Parchimer Umland;130765662.0
Sternberg, Stadt;13076128;Sternberger Seenlandschaft;130765664.0
Stolpe;13076129;Parchimer Umland;130765662.0
Stralendorf;13076130;Stralendorf;130765665.0
Strohkirchen;13076131;Hagenow-Land;130765658.0
Sukow;13076133;Crivitz;130765668.0
Sülstorf;13076134;Ludwigslust-Land;130765659.0
Techentin;13076135;Goldberg-Mildenitz;130765656.0
Teldau;13076136;Boizenburg-Land;130765652.0
Tessin b. Boizenburg;13076138;Boizenburg-Land;130765652.0
Tramm;13076140;Crivitz;130765668.0
Uelitz;13076141;Ludwigslust-Land;130765659.0
Vellahn;13076142;Zarrentin;130765667.0
Vielank;13076143;Dömitz-Malliß;130765654.0
Warlitz;13076145;Hagenow-Land;130765658.0
Warlow;13076146;Ludwigslust-Land;130765659.0
Warsow;13076147;Stralendorf;130765665.0
Weitendorf;13076148;Sternberger Seenlandschaft;130765664.0
Werder;13076151;Eldenburg Lübz;130765655.0
Wittenburg, Stadt;13076152;Wittenburg;130765666.0
Wittendörp;13076153;Wittenburg;130765666.0
Wittenförden;13076154;Stralendorf;130765665.0
Witzin;13076155;Sternberger Seenlandschaft;130765664.0
Wöbbelin;13076156;Ludwigslust-Land;130765659.0
Zapel;13076158;Crivitz;130765668.0
Zarrentin am Schaalsee, Stadt;13076159;Zarrentin;130765667.0
Ziegendorf;13076160;Parchimer Umland;130765662.0
Zierzow;13076161;Grabow;130765657.0
Zölkow;13076162;Parchimer Umland;130765662.0
Zülow;13076163;Stralendorf;130765665.0
Obere Warnow;13076164;Parchimer Umland;130765662.0
Gehlsbach;13076165;Eldenburg Lübz;130765655.0
Ganzlin;13076166;Plau am See;130765663.0
Kloster Tempzin;13076167;Sternberger Seenlandschaft;130765664.0
Ruhner Berge;13076168;Eldenburg Lübz;130765655.0
Toddin;13076169;Hagenow-Land;130765658.0
Chemnitz, Stadt;14511000;Chemnitz, Stadt;145110000.0
Amtsberg;14521010;Amtsberg;145210010.0
Annaberg-Buchholz, Stadt;14521020;Annaberg-Buchholz, Stadt;145210020.0
Aue-Bad Schlema, Stadt;14521035;Aue-Bad Schlema, Stadt;145210035.0
Auerbach;14521040;Burkhardtsdorf;145215103.0
Bärenstein;14521060;Bärenstein-Königswalde;145215101.0
Bockau;14521080;Zschorlau;145215139.0
Börnichen/Erzgeb.;14521090;Wildenstein;145215405.0
Breitenbrunn/Erzgeb.;14521110;Breitenbrunn/Erzgeb.;145210110.0
Burkhardtsdorf;14521120;Burkhardtsdorf;145215103.0
Crottendorf;14521130;Crottendorf;145210130.0
Deutschneudorf;14521140;Seiffen/Erzgeb.;145215132.0
Drebach;14521150;Drebach;145210150.0
Ehrenfriedersdorf, Stadt;14521160;Ehrenfriedersdorf, Stadt;145210160.0
Eibenstock, Stadt;14521170;Eibenstock, Stadt;145210170.0
Elterlein, Stadt;14521180;Zwönitz;145215140.0
Gelenau/Erzgeb.;14521200;Gelenau/Erzgeb.;145210200.0
Geyer, Stadt;14521210;Geyer;145215110.0
Gornau/Erzgeb.;14521220;Zschopau;145215138.0
Gornsdorf;14521230;Burkhardtsdorf;145215103.0
Großolbersdorf;14521240;Großolbersdorf;145210240.0
